scams,labels
Here is a great investment opportunity! Click here to learn more: [link],yes
I'm giving away a free car! All you have to do is retweet this post and follow me,yes
You've won a prize! Click here to claim your prize: [link],yes
Your account has been compromised. Please click here to reset your password: [link],yes
You've been selected to participate in a confidential survey. Please click here to take the survey: [link],yes
Your account has been suspended for suspicious activity. Please click here to verify your identity: [link],yes
You're eligible for a government grant! Click here to learn more: [link],yes
Your computer has been infected with a virus. Please click here to download the antivirus software: [link],yes
You're entitled to a tax refund! Click here to learn more: [link],yes
You've won the lottery! Click here to claim your prize: [link],yes
I'm selling my iPhone for a fraction of the price! Click here to learn more: [link],yes
I'm giving away a free vacation! All you have to do is follow me and retweet this post,yes
Here is a great way to make money online! Click here to learn more: [link],yes
I'm selling my car for a fraction of the price! Click here to learn more: [link],yes
I'm offering a free consultation on financial planning. Click here to schedule an appointment: [link],yes
Here is a great way to get out of debt! Click here to learn more: [link],yes
I'm offering a free consultation on legal advice. Click here to schedule an appointment: [link],yes
Here is a great way to lose weight quickly and easily! Click here to learn more: [link],yes
I'm offering a free consultation on health and wellness. Click here to schedule an appointment: [link],yes
Here is a great way to make money online! Click here to learn more: [link],yes
I'm selling my house for a fraction of the price! Click here to learn more: [link],yes
I'm offering a free consultation on real estate. Click here to schedule an appointment: [link],yes
Here is a great way to make money investing in stocks! Click here to learn more: [link],yes
I'm offering a free consultation on investing. Click here to schedule an appointment: [link],yes
Here is a great way to make money online! Click here to learn more: [link],yes
I'm selling my business for a fraction of the price! Click here to learn more: [link],yes
I'm offering a free consultation on business consulting. Click here to schedule an appointment: [link],yes
Here is a great way to make money online! Click here to learn more: [link],yes
I'm selling my yacht for a fraction of the price! Click here to learn more: [link],yes
I'm offering a free consultation on yacht sales. Click here to schedule an appointment: [link],yes
Here is a great way to make money online! Click here to learn more: [link],yes
I'm selling my private jet for a fraction of the price! Click here to learn more: [link],yes
I'm offering a free consultation on private jet sales. Click here to schedule an appointment: [link],yes
Here is a great business opportunity! Click here to learn more: [link],yes
I'm giving away a free iPhone 14! All you have to do is retweet this post and follow me,yes
You've won a trip to Disneyland! Click here to claim your prize: [link],yes
